ensembl_gene_id	external_gene_id	refseq_mrna
ENSG00000152926	ZNF117	NM_015852
ENSG00000164631	ZNF12	NM_006956
ENSG00000164631	ZNF12	NM_016265
ENSG00000197961	ZNF121	NM_001008727
ENSG00000196418	ZNF124	NM_001243740
ENSG00000196418	ZNF124	NM_003431
ENSG00000172262	ZNF131	NM_003432
ENSG00000131849	ZNF132	NM_003433
ENSG00000125846	ZNF133	NM_001083330
ENSG00000125846	ZNF133	NM_003434
ENSG00000213762	ZNF134	NM_003435
ENSG00000176293	ZNF135	NM_001164530
ENSG00000176293	ZNF135	NM_007134
ENSG00000176293	ZNF135	NM_001164529
ENSG00000176293	ZNF135	NM_003436
ENSG00000196646	ZNF136	NM_003437
ENSG00000197008	ZNF138	NM_001160183
ENSG00000197008	ZNF138	NM_006524
ENSG00000197008	ZNF138	NM_001271638
ENSG00000197008	ZNF138	NM_001271649
ENSG00000197008	ZNF138	NM_001271637
ENSG00000197008	ZNF138	NM_001271639
ENSG00000105708	ZNF14	NM_021030
ENSG00000196387	ZNF140	NM_003440
ENSG00000131127	ZNF141	NM_003441
ENSG00000115568	ZNF142	NM_001105537
ENSG00000166478	ZNF143	NM_003442
ENSG00000167635	ZNF146	NM_007145
ENSG00000167635	ZNF146	NM_001099639
ENSG00000167635	ZNF146	NM_001099638
ENSG00000163848	ZNF148	NM_021964
ENSG00000179909	ZNF154	NM_001085384
ENSG00000204920	ZNF155	NM_001260488
ENSG00000204920	ZNF155	NM_001260487
ENSG00000204920	ZNF155	NM_198089
ENSG00000204920	ZNF155	NM_001260486
ENSG00000204920	ZNF155	NM_003445
ENSG00000147117	ZNF157	NM_003446
ENSG00000170631	ZNF16	NM_001029976
ENSG00000170631	ZNF16	NM_006958
ENSG00000170949	ZNF160	NM_001102603
ENSG00000170949	ZNF160	NM_198893
ENSG00000170949	ZNF160	NM_033288
ENSG00000197279	ZNF165	NM_003447
ENSG00000175787	ZNF169	NM_194320
ENSG00000186272	ZNF17	NM_006959
ENSG00000103343	ZNF174	NM_001032292
ENSG00000103343	ZNF174	NM_003450
ENSG00000105497	ZNF175	NM_007147
ENSG00000270011	ZNF177	NM_001172650
ENSG00000188629	ZNF177	NM_003451
ENSG00000188629	ZNF177	NM_001172651
ENSG00000188629	ZNF177	NM_001202425
ENSG00000154957	ZNF18	NM_144680
ENSG00000167384	ZNF180	NM_001278508
ENSG00000167384	ZNF180	NM_013256
ENSG00000167384	ZNF180	NM_001278509
ENSG00000197841	ZNF181	NM_001029997
ENSG00000197841	ZNF181	NM_001145665
ENSG00000147118	ZNF182	NM_001007088
ENSG00000147118	ZNF182	NM_001178099
ENSG00000147118	ZNF182	NM_006962
ENSG00000096654	ZNF184	NM_007149
ENSG00000147394	ZNF185	NM_001178115
ENSG00000147394	ZNF185	NM_001178106
ENSG00000147394	ZNF185	NM_001178109
ENSG00000147394	ZNF185	NM_001178107
ENSG00000147394	ZNF185	NM_007150
ENSG00000147394	ZNF185	NM_001178108
ENSG00000147394	ZNF185	NM_001178110
ENSG00000147394	ZNF185	NM_001178113
ENSG00000136870	ZNF189	NM_001278231
ENSG00000136870	ZNF189	NM_001278232
ENSG00000136870	ZNF189	NM_003452
ENSG00000136870	ZNF189	NM_001278240
ENSG00000136870	ZNF189	NM_197977
ENSG00000157429	ZNF19	NM_006961
